date,fund,ticker,weight
2021-01-04,Equity Equal-Weight,ABBV,0.02
2021-02-01,Equity Equal-Weight,ABBV,0.02
2021-03-01,Equity Equal-Weight,ABBV,0.02
2021-04-01,Equity Equal-Weight,ABBV,0.02
2021-05-03,Equity Equal-Weight,ABBV,0.02
2021-06-01,Equity Equal-Weight,ABBV,0.02
2021-07-01,Equity Equal-Weight,ABBV,0.02
2021-08-02,Equity Equal-Weight,ABBV,0.02
2021-09-01,Equity Equal-Weight,ABBV,0.02
2021-10-01,Equity Equal-Weight,ABBV,0.02
2021-11-01,Equity Equal-Weight,ABBV,0.02
2021-12-01,Equity Equal-Weight,ABBV,0.02
2022-01-03,Equity Equal-Weight,ABBV,0.02
2022-02-01,Equity Equal-Weight,ABBV,0.02
2022-03-01,Equity Equal-Weight,ABBV,0.02
2022-04-01,Equity Equal-Weight,ABBV,0.02
2022-05-02,Equity Equal-Weight,ABBV,0.02
2022-06-01,Equity Equal-Weight,ABBV,0.02
2022-07-01,Equity Equal-Weight,ABBV,0.02
2022-08-01,Equity Equal-Weight,ABBV,0.02
2022-09-01,Equity Equal-Weight,ABBV,0.02
2022-10-03,Equity Equal-Weight,ABBV,0.02
2022-11-01,Equity Equal-Weight,ABBV,0.02
2022-12-01,Equity Equal-Weight,ABBV,0.02
2023-01-03,Equity Equal-Weight,ABBV,0.02
2023-02-01,Equity Equal-Weight,ABBV,0.02
2023-03-01,Equity Equal-Weight,ABBV,0.02
2023-04-03,Equity Equal-Weight,ABBV,0.02
2023-05-01,Equity Equal-Weight,ABBV,0.02
2023-06-01,Equity Equal-Weight,ABBV,0.02
2023-07-03,Equity Equal-Weight,ABBV,0.02
2023-08-01,Equity Equal-Weight,ABBV,0.02
2023-09-01,Equity Equal-Weight,ABBV,0.02
2023-10-02,Equity Equal-Weight,ABBV,0.02
2023-11-01,Equity Equal-Weight,ABBV,0.02
2023-12-01,Equity Equal-Weight,ABBV,0.02
2021-01-04,Equity Equal-Weight,ABT,0.02
2021-02-01,Equity Equal-Weight,ABT,0.02
2021-03-01,Equity Equal-Weight,ABT,0.02
2021-04-01,Equity Equal-Weight,ABT,0.02
2021-05-03,Equity Equal-Weight,ABT,0.02
2021-06-01,Equity Equal-Weight,ABT,0.02
2021-07-01,Equity Equal-Weight,ABT,0.02
2021-08-02,Equity Equal-Weight,ABT,0.02
2021-09-01,Equity Equal-Weight,ABT,0.02
2021-10-01,Equity Equal-Weight,ABT,0.02
2021-11-01,Equity Equal-Weight,ABT,0.02
2021-12-01,Equity Equal-Weight,ABT,0.02
2022-01-03,Equity Equal-Weight,ABT,0.02
2022-02-01,Equity Equal-Weight,ABT,0.02
2022-03-01,Equity Equal-Weight,ABT,0.02
2022-04-01,Equity Equal-Weight,ABT,0.02
2022-05-02,Equity Equal-Weight,ABT,0.02
2022-06-01,Equity Equal-Weight,ABT,0.02
2022-07-01,Equity Equal-Weight,ABT,0.02
2022-08-01,Equity Equal-Weight,ABT,0.02
2022-09-01,Equity Equal-Weight,ABT,0.02
2022-10-03,Equity Equal-Weight,ABT,0.02
2022-11-01,Equity Equal-Weight,ABT,0.02
2022-12-01,Equity Equal-Weight,ABT,0.02
2023-01-03,Equity Equal-Weight,ABT,0.02
2023-02-01,Equity Equal-Weight,ABT,0.02
2023-03-01,Equity Equal-Weight,ABT,0.02
2023-04-03,Equity Equal-Weight,ABT,0.02
2023-05-01,Equity Equal-Weight,ABT,0.02
2023-06-01,Equity Equal-Weight,ABT,0.02
2023-07-03,Equity Equal-Weight,ABT,0.02
2023-08-01,Equity Equal-Weight,ABT,0.02
2023-09-01,Equity Equal-Weight,ABT,0.02
2023-10-02,Equity Equal-Weight,ABT,0.02
2023-11-01,Equity Equal-Weight,ABT,0.02
2023-12-01,Equity Equal-Weight,ABT,0.02
2021-01-04,Equity Equal-Weight,ADBE,0.02
2021-02-01,Equity Equal-Weight,ADBE,0.02
2021-03-01,Equity Equal-Weight,ADBE,0.02
2021-04-01,Equity Equal-Weight,ADBE,0.02
2021-05-03,Equity Equal-Weight,ADBE,0.02
2021-06-01,Equity Equal-Weight,ADBE,0.02
2021-07-01,Equity Equal-Weight,ADBE,0.02
2021-08-02,Equity Equal-Weight,ADBE,0.02
2021-09-01,Equity Equal-Weight,ADBE,0.02
2021-10-01,Equity Equal-Weight,ADBE,0.02
2021-11-01,Equity Equal-Weight,ADBE,0.02
2021-12-01,Equity Equal-Weight,ADBE,0.02
2022-01-03,Equity Equal-Weight,ADBE,0.02
2022-02-01,Equity Equal-Weight,ADBE,0.02
2022-03-01,Equity Equal-Weight,ADBE,0.02
2022-04-01,Equity Equal-Weight,ADBE,0.02
2022-05-02,Equity Equal-Weight,ADBE,0.02
2022-06-01,Equity Equal-Weight,ADBE,0.02
2022-07-01,Equity Equal-Weight,ADBE,0.02
2022-08-01,Equity Equal-Weight,ADBE,0.02
2022-09-01,Equity Equal-Weight,ADBE,0.02
2022-10-03,Equity Equal-Weight,ADBE,0.02
2022-11-01,Equity Equal-Weight,ADBE,0.02
2022-12-01,Equity Equal-Weight,ADBE,0.02
2023-01-03,Equity Equal-Weight,ADBE,0.02
2023-02-01,Equity Equal-Weight,ADBE,0.02
2023-03-01,Equity Equal-Weight,ADBE,0.02
2023-04-03,Equity Equal-Weight,ADBE,0.02
2023-05-01,Equity Equal-Weight,ADBE,0.02
2023-06-01,Equity Equal-Weight,ADBE,0.02
